filename,loc,site,elev,elevation,species,order,temp_trt,stress,chamber_num,barcode,dryweight,control_corr_mr
MRT51COP2014.xls,Colorado,Beaver,mid,2590,Hesperoperla,P,7.5,ns,4,34059,0.01136,0.002610852
MRT52COP2014.xls,Colorado,Beaver,mid,2590,Hesperoperla,P,10,ns,1,34064,0.01234,0.001393074
MRT52COP2014.xls,Colorado,Beaver,mid,2590,Hesperoperla,P,10,ns,3,34062,0.01792,0.006457055
MRT52COP2014.xls,Colorado,Beaver,mid,2590,Hesperoperla,P,10,ns,4,34063,0.00838,0.000618688
MRT53COP2014.xls,Colorado,Beaver,mid,2590,Hesperoperla,P,10,ns,2,34065,0.00668,0.000130465
MRT53COP2014.xls,Colorado,Beaver,mid,2590,Hesperoperla,P,10,ns,3,34066,0.00867,0.006016309
MRT53COP2014.xls,Colorado,Beaver,mid,2590,Hesperoperla,P,10,ns,4,34067,0.01432,0.011024993
MRT54COP2014.xls,Colorado,Beaver,mid,2590,Hesperoperla,P,20,ns,1,34068,0.04017,0.018380159
MRT54COP2014.xls,Colorado,Beaver,mid,2590,Hesperoperla,P,20,ns,2,34069,0.05124,0.023355729
MRT54COP2014.xls,Colorado,Beaver,mid,2590,Hesperoperla,P,20,ns,3,34070,0.05234,0.019585879
MRT55COP2014.xls,Colorado,Beaver,mid,2590,Hesperoperla,P,20,ns,1,34071,0.04948,0.00938062
MRT55COP2014.xls,Colorado,Beaver,mid,2590,Hesperoperla,P,20,ns,2,34072,0.06056,0.00944903
MRT55COP2014.xls,Colorado,Beaver,mid,2590,Hesperoperla,P,20,ns,3,34073,0.02749,0.00590999
MRT56COP2014.xls,Colorado,Beaver,mid,2590,Hesperoperla,P,22.5,,1,34074,0.0332,0.021354345
MRT56COP2014.xls,Colorado,Beaver,mid,2590,Hesperoperla,P,22.5,,2,34075,0.03724,0.024637735
MRT57COP2014.xls,Colorado,Beaver,mid,2590,Hesperoperla,P,22.5,,1,34078,0.0169,0.004772092
MRT57COP2014.xls,Colorado,Beaver,mid,2590,Hesperoperla,P,22.5,,3,34076,0.03137,0.020240412
MRT57COP2014.xls,Colorado,Beaver,mid,2590,Hesperoperla,P,22.5,,4,34077,0.03943,0.020493482
MRT58COP2014.xls,Colorado,Beaver,mid,2590,Hesperoperla,P,25,,2,34079,0.02143,0.01423363
MRT58COP2014.xls,Colorado,Beaver,mid,2590,Hesperoperla,P,25,,3,34080,0.0342,0.02522365
MRT58COP2014.xls,Colorado,Beaver,mid,2590,Hesperoperla,P,25,,4,34081,0.02519,0.0200988
MRT59COP2014.xls,Colorado,Beaver,mid,2590,Hesperoperla,P,25,,2,34082,0.01941,0.014062377
MRT59COP2014.xls,Colorado,Beaver,mid,2590,Hesperoperla,P,25,,3,34083,0.00699,0.007636217
MRT59COP2014.xls,Colorado,Beaver,mid,2590,Hesperoperla,P,25,,4,34084,0.01335,0.021237127
MRT5COP2014.xls,Colorado,Beaver,mid,2590,Hesperoperla,P,25,,2,5880,0.00623,0.005759002
MRT5COP2014.xls,Colorado,Beaver,mid,2590,Hesperoperla,P,25,,3,5881,0.00452,0.006931782
MRT5COP2014.xls,Colorado,Beaver,mid,2590,Hesperoperla,P,25,,4,5882,0.00381,0.002123121
MRT60COP2014.xls,Colorado,Beaver,mid,2590,Hesperoperla,P,12.5,ns,1,34086,0.01166,-0.000394639
MRT60COP2014.xls,Colorado,Beaver,mid,2590,Hesperoperla,P,12.5,ns,2,34087,0.00622,-0.000814744
MRT60COP2014.xls,Colorado,Beaver,mid,2590,Hesperoperla,P,12.5,ns,4,34085,0.013,0.00231352
MRT61COP2014.xls,Colorado,Beaver,mid,2590,Hesperoperla,P,12.5,ns,2,34088,0.03966,0.010726677
MRT61COP2014.xls,Colorado,Beaver,mid,2590,Hesperoperla,P,12.5,ns,3,34089,0.03695,-0.003578144
MRT61COP2014.xls,Colorado,Beaver,mid,2590,Hesperoperla,P,12.5,ns,4,34090,0.03039,-0.001321385
MRT62COP2014.xls,Colorado,Beaver,mid,2590,Hesperoperla,P,15,ns,1,34093,0.00523,-0.000831143
MRT62COP2014.xls,Colorado,Beaver,mid,2590,Hesperoperla,P,15,ns,3,34091,0.02986,0.012332982
MRT62COP2014.xls,Colorado,Beaver,mid,2590,Hesperoperla,P,15,ns,4,34092,0.03133,0.008704792
MRT63COP2014.xls,Colorado,Beaver,mid,2590,Hesperoperla,P,15,ns,2,34105,0.00798,0.000990102
MRT63COP2014.xls,Colorado,Beaver,mid,2590,Hesperoperla,P,15,ns,3,34106,0.00906,0.003716492
